Dose_A,Dose_B,CI,CI_normalized,Mean_Growth,Std_Growth,Dosing_Type,R_squared_A,R_squared_B
2,0.25,0.1125,0.144921631487823,0.119075,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
2,0.5,0.125,0.148047198031689,0.10585,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
2,1,0.15,0.154465265083535,0.0887,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
2,2,0.2,0.167981614866076,0.076575,0.002,A+B,-4.41441687870636e-07,-4.44857282344557e-07
0,0,0,0.119202922022118,0.363233333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0,0.25,0.0294476559127826,0.125526545130087,0.3149,0.00199999999999999,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0,0.5,0.0869908472073764,0.138713289866636,0.279766666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0,1,0.05,0.130108474362998,0.234433333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0,2,0.1,0.141851064900488,0.202166666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0,0.0294476406746267,0.125526541784714,0.3149,0.00199999999999999,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0.25,0.025,0.124553358187416,0.272833333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0.5,0.0375,0.127305038075372,0.242466666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.25,1,0.0625,0.132964240197829,0.2033,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.25,2,0.1125,0.144921631487823,0.175333333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0,0.0869907639779729,0.138713269979485,0.279766666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0.25,0.0375,0.127305038075372,0.242466666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0.5,0.05,0.130108474362998,0.215533333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.5,1,0.075,0.135872897009094,0.1807,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0.5,2,0.125,0.148047198031689,0.155866666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
1,0,0.05,0.130108474362998,0.234433333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
1,0.25,0.0625,0.132964240197829,0.2033,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
1,0.5,0.075,0.135872897009094,0.1807,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
1,1,0.1,0.141851064900488,0.1515,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
1,2,0.15,0.154465265083535,0.130633333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
2,0,0.1,0.141851064900488,0.202166666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
2,0.25,0.1125,0.144921631487823,0.175333333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
2,0.5,0.125,0.148047198031689,0.155866666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
2,1,0.15,0.154465265083535,0.130633333333333,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
2,2,0.2,0.167981614866076,0.112766666666667,0.002,A-B,-2.13625671152684e-07,-2.13629216316846e-07
0,0,0,0.119202922022118,0.363233333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0,0.25,0.0294476559127826,0.125526545130087,0.3149,0.00199999999999999,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0,0.5,0.0869908472073764,0.138713289866636,0.279766666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0,1,0.05,0.130108474362998,0.234433333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0,2,0.1,0.141851064900488,0.202166666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0,0.0294476406746267,0.125526541784714,0.3149,0.00199999999999999,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0.25,0.025,0.124553358187416,0.272833333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.25,0.5,0.0375,0.127305038075372,0.242466666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.25,1,0.0625,0.132964240197829,0.2033,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.25,2,0.1125,0.144921631487823,0.175333333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0,0.0869907639779729,0.138713269979485,0.279766666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0.25,0.0375,0.127305038075372,0.242466666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.5,0.5,0.05,0.130108474362998,0.215533333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.5,1,0.075,0.135872897009094,0.1807,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
0.5,2,0.125,0.148047198031689,0.155866666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
1,0,0.05,0.130108474362998,0.234433333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
1,0.25,0.0625,0.132964240197829,0.2033,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
1,0.5,0.075,0.135872897009094,0.1807,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
1,1,0.1,0.141851064900488,0.1515,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
1,2,0.15,0.154465265083535,0.130633333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
2,0,0.1,0.141851064900488,0.202166666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
2,0.25,0.1125,0.144921631487823,0.175333333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
2,0.5,0.125,0.148047198031689,0.155866666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
2,1,0.15,0.154465265083535,0.130633333333333,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
2,2,0.2,0.167981614866076,0.112766666666667,0.002,B-A,-2.13625671152684e-07,-2.13629216316846e-07
