Time,Dose_A,Dose_B,Growth,Dosing_Type
6,0.5,0,0.3462,A+B
6,0.5,0,0.3482,A+B
6,0.5,0,0.3442,A+B
6,0.5,0.25,0.3000,A+B
6,0.5,0.25,0.3020,A+B
6,0.5,0.25,0.2980,A+B
6,0.5,0.5,0.2667,A+B
6,0.5,0.5,0.2687,A+B
6,0.5,0.5,0.2647,A+B
6,0.5,1,0.2236,A+B
6,0.5,1,0.2256,A+B
6,0.5,1,0.2216,A+B
6,0.5,2,0.1929,A+B
6,0.5,2,0.1949,A+B
6,0.5,2,0.1909,A+B
6,1,0,0.2900,A+B
6,1,0,0.2920,A+B
6,1,0,0.2880,A+B
6,1,0.25,0.2516,A+B
6,1,0.25,0.2536,A+B
6,1,0.25,0.2496,A+B
6,1,0.5,0.2236,A+B
6,1,0.5,0.2256,A+B
6,1,0.5,0.2216,A+B
6,1,1,0.1875,A+B
6,1,1,0.1895,A+B
6,1,1,0.1855,A+B
6,1,2,0.1617,A+B
6,1,2,0.1637,A+B
6,1,2,0.1597,A+B
6,2,0,0.2500,A+B
6,2,0,0.2520,A+B
6,2,0,0.2480,A+B
6,2,0.25,0.2169,A+B
6,2,0.25,0.2189,A+B
6,2,0.25,0.2149,A+B
6,2,0.5,0.1929,A+B
6,2,0.5,0.1949,A+B
6,2,0.5,0.1909,A+B
6,2,1,0.1617,A+B
6,2,1,0.1637,A+B
6,2,1,0.1597,A+B
6,2,2,0.1396,A+B
6,2,2,0.1416,A+B
6,2,2,0.1376,A+B
3,0,0,0.2006,A-B
3,0,0,0.2026,A-B
3,0,0,0.1986,A-B
3,0,0.25,0.1738,A-B
3,0,0.25,0.1758,A-B
3,0,0.25,0.1718,A-B
3,0,0.5,0.1545,A-B
3,0,0.5,0.1565,A-B
3,0,0.5,0.1525,A-B
3,0,1,0.1296,A-B
3,0,1,0.1316,A-B
3,0,1,0.1276,A-B
3,0,2,0.1118,A-B
3,0,2,0.1138,A-B
3,0,2,0.1098,A-B
3,0.25,0,0.1738,A-B
3,0.25,0,0.1758,A-B
3,0.25,0,0.1718,A-B
3,0.25,0.25,0.1506,A-B
3,0.25,0.25,0.1526,A-B
3,0.25,0.25,0.1486,A-B
3,0.25,0.5,0.1339,A-B
3,0.25,0.5,0.1359,A-B
3,0.25,0.5,0.1319,A-B
3,0.25,1,0.1123,A-B
3,0.25,1,0.1143,A-B
3,0.25,1,0.1103,A-B
3,0.25,2,0.0969,A-B
3,0.25,2,0.0989,A-B
3,0.25,2,0.0949,A-B
3,0.5,0,0.1545,A-B
3,0.5,0,0.1565,A-B
3,0.5,0,0.1525,A-B
3,0.5,0.25,0.1339,A-B
3,0.5,0.25,0.1359,A-B
3,0.5,0.25,0.1319,A-B
3,0.5,0.5,0.1190,A-B
3,0.5,0.5,0.1210,A-B
3,0.5,0.5,0.1170,A-B
3,0.5,1,0.0998,A-B
3,0.5,1,0.1018,A-B
3,0.5,1,0.0978,A-B
3,0.5,2,0.0861,A-B
3,0.5,2,0.0881,A-B
3,0.5,2,0.0841,A-B
3,1,0,0.1296,A-B
3,1,0,0.1316,A-B
3,1,0,0.1276,A-B
3,1,0.25,0.1123,A-B
3,1,0.25,0.1143,A-B
3,1,0.25,0.1103,A-B
3,1,0.5,0.0998,A-B
3,1,0.5,0.1018,A-B
3,1,0.5,0.0978,A-B
3,1,1,0.0837,A-B
3,1,1,0.0857,A-B
3,1,1,0.0817,A-B
3,1,2,0.0721,A-B
3,1,2,0.0741,A-B
3,1,2,0.0701,A-B
3,2,0,0.1118,A-B
3,2,0,0.1138,A-B
3,2,0,0.1098,A-B
3,2,0.25,0.0969,A-B
3,2,0.25,0.0989,A-B
3,2,0.25,0.0949,A-B
3,2,0.5,0.0861,A-B
3,2,0.5,0.0881,A-B
3,2,0.5,0.0841,A-B
3,2,1,0.0721,A-B
3,2,1,0.0741,A-B
3,2,1,0.0701,A-B
3,2,2,0.0622,A-B
3,2,2,0.0642,A-B
3,2,2,0.0602,A-B
4,0,0,0.2725,A-B
4,0,0,0.2745,A-B
4,0,0,0.2705,A-B
4,0,0.25,0.2362,A-B
4,0,0.25,0.2382,A-B
4,0,0.25,0.2342,A-B
4,0,0.5,0.2098,A-B
4,0,0.5,0.2118,A-B
4,0,0.5,0.2078,A-B
4,0,1,0.1758,A-B
4,0,1,0.1778,A-B
4,0,1,0.1738,A-B
4,0,2,0.1516,A-B
4,0,2,0.1536,A-B
4,0,2,0.1496,A-B
4,0.25,0,0.2362,A-B
4,0.25,0,0.2382,A-B
4,0.25,0,0.2342,A-B
4,0.25,0.25,0.2046,A-B
4,0.25,0.25,0.2066,A-B
4,0.25,0.25,0.2026,A-B
4,0.25,0.5,0.1818,A-B
4,0.25,0.5,0.1838,A-B
4,0.25,0.5,0.1798,A-B
4,0.25,1,0.1524,A-B
4,0.25,1,0.1544,A-B
4,0.25,1,0.1504,A-B
4,0.25,2,0.1315,A-B
4,0.25,2,0.1335,A-B
4,0.25,2,0.1295,A-B
4,0.5,0,0.2098,A-B
4,0.5,0,0.2118,A-B
4,0.5,0,0.2078,A-B
4,0.5,0.25,0.1818,A-B
4,0.5,0.25,0.1838,A-B
4,0.5,0.25,0.1798,A-B
4,0.5,0.5,0.1616,A-B
4,0.5,0.5,0.1636,A-B
4,0.5,0.5,0.1596,A-B
4,0.5,1,0.1355,A-B
4,0.5,1,0.1375,A-B
4,0.5,1,0.1335,A-B
4,0.5,2,0.1168,A-B
4,0.5,2,0.1188,A-B
4,0.5,2,0.1148,A-B
4,1,0,0.1758,A-B
4,1,0,0.1778,A-B
4,1,0,0.1738,A-B
4,1,0.25,0.1524,A-B
4,1,0.25,0.1544,A-B
4,1,0.25,0.1504,A-B
4,1,0.5,0.1355,A-B
4,1,0.5,0.1375,A-B
4,1,0.5,0.1335,A-B
4,1,1,0.1136,A-B
4,1,1,0.1156,A-B
4,1,1,0.1116,A-B
4,1,2,0.0979,A-B
4,1,2,0.0999,A-B
4,1,2,0.0959,A-B
4,2,0,0.1516,A-B
4,2,0,0.1536,A-B
4,2,0,0.1496,A-B
4,2,0.25,0.1315,A-B
4,2,0.25,0.1335,A-B
4,2,0.25,0.1295,A-B
4,2,0.5,0.1168,A-B
4,2,0.5,0.1188,A-B
4,2,0.5,0.1148,A-B
4,2,1,0.0979,A-B
4,2,1,0.0999,A-B
4,2,1,0.0959,A-B
4,2,2,0.0845,A-B
4,2,2,0.0865,A-B
4,2,2,0.0825,A-B
5,0,0,0.3679,A-B
5,0,0,0.3699,A-B
5,0,0,0.3659,A-B
5,0,0.25,0.3188,A-B
5,0,0.25,0.3208,A-B
5,0,0.25,0.3168,A-B
5,0,0.5,0.2833,A-B
5,0,0.5,0.2853,A-B
5,0,0.5,0.2813,A-B
5,0,1,0.2375,A-B
5,0,1,0.2395,A-B
5,0,1,0.2355,A-B
5,0,2,0.2049,A-B
5,0,2,0.2069,A-B
5,0,2,0.2029,A-B
5,0.25,0,0.3188,A-B
5,0.25,0,0.3208,A-B
5,0.25,0,0.3168,A-B
5,0.25,0.25,0.2763,A-B
5,0.25,0.25,0.2783,A-B
5,0.25,0.25,0.2743,A-B
5,0.25,0.5,0.2456,A-B
5,0.25,0.5,0.2476,A-B
5,0.25,0.5,0.2436,A-B
5,0.25,1,0.2059,A-B
5,0.25,1,0.2079,A-B
5,0.25,1,0.2039,A-B
5,0.25,2,0.1776,A-B
5,0.25,2,0.1796,A-B
5,0.25,2,0.1756,A-B
5,0.5,0,0.2833,A-B
5,0.5,0,0.2853,A-B
5,0.5,0,0.2813,A-B
5,0.5,0.25,0.2456,A-B
5,0.5,0.25,0.2476,A-B
5,0.5,0.25,0.2436,A-B
5,0.5,0.5,0.2183,A-B
5,0.5,0.5,0.2203,A-B
5,0.5,0.5,0.2163,A-B
5,0.5,1,0.1830,A-B
5,0.5,1,0.1850,A-B
5,0.5,1,0.1810,A-B
5,0.5,2,0.1579,A-B
5,0.5,2,0.1599,A-B
5,0.5,2,0.1559,A-B
5,1,0,0.2375,A-B
5,1,0,0.2395,A-B
5,1,0,0.2355,A-B
5,1,0.25,0.2059,A-B
5,1,0.25,0.2079,A-B
5,1,0.25,0.2039,A-B
5,1,0.5,0.1830,A-B
5,1,0.5,0.1850,A-B
5,1,0.5,0.1810,A-B
5,1,1,0.1534,A-B
5,1,1,0.1554,A-B
5,1,1,0.1514,A-B
5,1,2,0.1323,A-B
5,1,2,0.1343,A-B
5,1,2,0.1303,A-B
5,2,0,0.2049,A-B
5,2,0,0.2069,A-B
5,2,0,0.2029,A-B
5,2,0.25,0.1776,A-B
5,2,0.25,0.1796,A-B
5,2,0.25,0.1756,A-B
5,2,0.5,0.1579,A-B
5,2,0.5,0.1599,A-B
5,2,0.5,0.1559,A-B
5,2,1,0.1323,A-B
5,2,1,0.1343,A-B
5,2,1,0.1303,A-B
5,2,2,0.1142,A-B
5,2,2,0.1162,A-B
5,2,2,0.1122,A-B
6,0,0,0.4493,A-B
6,0,0,0.4513,A-B
6,0,0,0.4473,A-B
6,0,0.25,0.3897,A-B
6,0,0.25,0.3917,A-B
6,0,0.25,0.3877,A-B
6,0,0.5,0.3462,A-B
6,0,0.5,0.3482,A-B
6,0,0.5,0.3442,A-B
6,0,1,0.2900,A-B
6,0,1,0.2920,A-B
6,0,1,0.2880,A-B
6,0,2,0.2500,A-B
6,0,2,0.2520,A-B
6,0,2,0.2480,A-B
6,0.25,0,0.3897,A-B
6,0.25,0,0.3917,A-B
6,0.25,0,0.3877,A-B
6,0.25,0.25,0.3376,A-B
6,0.25,0.25,0.3396,A-B
6,0.25,0.25,0.3356,A-B
6,0.25,0.5,0.3000,A-B
6,0.25,0.5,0.3020,A-B
6,0.25,0.5,0.2980,A-B
6,0.25,1,0.2516,A-B
6,0.25,1,0.2536,A-B
6,0.25,1,0.2496,A-B
6,0.25,2,0.2169,A-B
6,0.25,2,0.2189,A-B
6,0.25,2,0.2149,A-B
6,0.5,0,0.3462,A-B
6,0.5,0,0.3482,A-B
6,0.5,0,0.3442,A-B
6,0.5,0.25,0.3000,A-B
6,0.5,0.25,0.3020,A-B
6,0.5,0.25,0.2980,A-B
6,0.5,0.5,0.2667,A-B
6,0.5,0.5,0.2687,A-B
6,0.5,0.5,0.2647,A-B
6,0.5,1,0.2236,A-B
6,0.5,1,0.2256,A-B
6,0.5,1,0.2216,A-B
6,0.5,2,0.1929,A-B
6,0.5,2,0.1949,A-B
6,0.5,2,0.1909,A-B
6,1,0,0.2900,A-B
6,1,0,0.2920,A-B
6,1,0,0.2880,A-B
6,1,0.25,0.2516,A-B
6,1,0.25,0.2536,A-B
6,1,0.25,0.2496,A-B
6,1,0.5,0.2236,A-B
6,1,0.5,0.2256,A-B
6,1,0.5,0.2216,A-B
6,1,1,0.1875,A-B
6,1,1,0.1895,A-B
6,1,1,0.1855,A-B
6,1,2,0.1617,A-B
6,1,2,0.1637,A-B
6,1,2,0.1597,A-B
6,2,0,0.2500,A-B
6,2,0,0.2520,A-B
6,2,0,0.2480,A-B
6,2,0.25,0.2169,A-B
6,2,0.25,0.2189,A-B
6,2,0.25,0.2149,A-B
6,2,0.5,0.1929,A-B
6,2,0.5,0.1949,A-B
6,2,0.5,0.1909,A-B
6,2,1,0.1617,A-B
6,2,1,0.1637,A-B
6,2,1,0.1597,A-B
6,2,2,0.1396,A-B
6,2,2,0.1416,A-B
6,2,2,0.1376,A-B
3,0,0,0.2006,B-A
3,0,0,0.2026,B-A
3,0,0,0.1986,B-A
3,0,0.25,0.1738,B-A
3,0,0.25,0.1758,B-A
3,0,0.25,0.1718,B-A
3,0,0.5,0.1545,B-A
3,0,0.5,0.1565,B-A
3,0,0.5,0.1525,B-A
3,0,1,0.1296,B-A
3,0,1,0.1316,B-A
3,0,1,0.1276,B-A
3,0,2,0.1118,B-A
3,0,2,0.1138,B-A
3,0,2,0.1098,B-A
3,0.25,0,0.1738,B-A
3,0.25,0,0.1758,B-A
3,0.25,0,0.1718,B-A
3,0.25,0.25,0.1506,B-A
3,0.25,0.25,0.1526,B-A
3,0.25,0.25,0.1486,B-A
3,0.25,0.5,0.1339,B-A
3,0.25,0.5,0.1359,B-A
3,0.25,0.5,0.1319,B-A
3,0.25,1,0.1123,B-A
3,0.25,1,0.1143,B-A
3,0.25,1,0.1103,B-A
3,0.25,2,0.0969,B-A
3,0.25,2,0.0989,B-A
3,0.25,2,0.0949,B-A
3,0.5,0,0.1545,B-A
3,0.5,0,0.1565,B-A
3,0.5,0,0.1525,B-A
3,0.5,0.25,0.1339,B-A
3,0.5,0.25,0.1359,B-A
3,0.5,0.25,0.1319,B-A
3,0.5,0.5,0.1190,B-A
3,0.5,0.5,0.1210,B-A
3,0.5,0.5,0.1170,B-A
3,0.5,1,0.0998,B-A
3,0.5,1,0.1018,B-A
3,0.5,1,0.0978,B-A
3,0.5,2,0.0861,B-A
3,0.5,2,0.0881,B-A
3,0.5,2,0.0841,B-A
3,1,0,0.1296,B-A
3,1,0,0.1316,B-A
3,1,0,0.1276,B-A
3,1,0.25,0.1123,B-A
3,1,0.25,0.1143,B-A
3,1,0.25,0.1103,B-A
3,1,0.5,0.0998,B-A
3,1,0.5,0.1018,B-A
3,1,0.5,0.0978,B-A
3,1,1,0.0837,B-A
3,1,1,0.0857,B-A
3,1,1,0.0817,B-A
3,1,2,0.0721,B-A
3,1,2,0.0741,B-A
3,1,2,0.0701,B-A
3,2,0,0.1118,B-A
3,2,0,0.1138,B-A
3,2,0,0.1098,B-A
3,2,0.25,0.0969,B-A
3,2,0.25,0.0989,B-A
3,2,0.25,0.0949,B-A
3,2,0.5,0.0861,B-A
3,2,0.5,0.0881,B-A
3,2,0.5,0.0841,B-A
3,2,1,0.0721,B-A
3,2,1,0.0741,B-A
3,2,1,0.0701,B-A
3,2,2,0.0622,B-A
3,2,2,0.0642,B-A
3,2,2,0.0602,B-A
4,0,0,0.2725,B-A
4,0,0,0.2745,B-A
4,0,0,0.2705,B-A
4,0,0.25,0.2362,B-A
4,0,0.25,0.2382,B-A
4,0,0.25,0.2342,B-A
4,0,0.5,0.2098,B-A
4,0,0.5,0.2118,B-A
4,0,0.5,0.2078,B-A
4,0,1,0.1758,B-A
4,0,1,0.1778,B-A
4,0,1,0.1738,B-A
4,0,2,0.1516,B-A
4,0,2,0.1536,B-A
4,0,2,0.1496,B-A
4,0.25,0,0.2362,B-A
4,0.25,0,0.2382,B-A
4,0.25,0,0.2342,B-A
4,0.25,0.25,0.2046,B-A
4,0.25,0.25,0.2066,B-A
4,0.25,0.25,0.2026,B-A
4,0.25,0.5,0.1818,B-A
4,0.25,0.5,0.1838,B-A
4,0.25,0.5,0.1798,B-A
4,0.25,1,0.1524,B-A
4,0.25,1,0.1544,B-A
4,0.25,1,0.1504,B-A
4,0.25,2,0.1315,B-A
4,0.25,2,0.1335,B-A
4,0.25,2,0.1295,B-A
4,0.5,0,0.2098,B-A
4,0.5,0,0.2118,B-A
4,0.5,0,0.2078,B-A
4,0.5,0.25,0.1818,B-A
4,0.5,0.25,0.1838,B-A
4,0.5,0.25,0.1798,B-A
4,0.5,0.5,0.1616,B-A
4,0.5,0.5,0.1636,B-A
4,0.5,0.5,0.1596,B-A
4,0.5,1,0.1355,B-A
4,0.5,1,0.1375,B-A
4,0.5,1,0.1335,B-A
4,0.5,2,0.1168,B-A
4,0.5,2,0.1188,B-A
4,0.5,2,0.1148,B-A
4,1,0,0.1758,B-A
4,1,0,0.1778,B-A
4,1,0,0.1738,B-A
4,1,0.25,0.1524,B-A
4,1,0.25,0.1544,B-A
4,1,0.25,0.1504,B-A
4,1,0.5,0.1355,B-A
4,1,0.5,0.1375,B-A
4,1,0.5,0.1335,B-A
4,1,1,0.1136,B-A
4,1,1,0.1156,B-A
4,1,1,0.1116,B-A
4,1,2,0.0979,B-A
4,1,2,0.0999,B-A
4,1,2,0.0959,B-A
4,2,0,0.1516,B-A
4,2,0,0.1536,B-A
4,2,0,0.1496,B-A
4,2,0.25,0.1315,B-A
4,2,0.25,0.1335,B-A
4,2,0.25,0.1295,B-A
4,2,0.5,0.1168,B-A
4,2,0.5,0.1188,B-A
4,2,0.5,0.1148,B-A
4,2,1,0.0979,B-A
4,2,1,0.0999,B-A
4,2,1,0.0959,B-A
4,2,2,0.0845,B-A
4,2,2,0.0865,B-A
4,2,2,0.0825,B-A
5,0,0,0.3679,B-A
5,0,0,0.3699,B-A
5,0,0,0.3659,B-A
5,0,0.25,0.3188,B-A
5,0,0.25,0.3208,B-A
5,0,0.25,0.3168,B-A
5,0,0.5,0.2833,B-A
5,0,0.5,0.2853,B-A
5,0,0.5,0.2813,B-A
5,0,1,0.2375,B-A
5,0,1,0.2395,B-A
5,0,1,0.2355,B-A
5,0,2,0.2049,B-A
5,0,2,0.2069,B-A
5,0,2,0.2029,B-A
5,0.25,0,0.3188,B-A
5,0.25,0,0.3208,B-A
5,0.25,0,0.3168,B-A
5,0.25,0.25,0.2763,B-A
5,0.25,0.25,0.2783,B-A
5,0.25,0.25,0.2743,B-A
5,0.25,0.5,0.2456,B-A
5,0.25,0.5,0.2476,B-A
5,0.25,0.5,0.2436,B-A
5,0.25,1,0.2059,B-A
5,0.25,1,0.2079,B-A
5,0.25,1,0.2039,B-A
5,0.25,2,0.1776,B-A
5,0.25,2,0.1796,B-A
5,0.25,2,0.1756,B-A
5,0.5,0,0.2833,B-A
5,0.5,0,0.2853,B-A
5,0.5,0,0.2813,B-A
5,0.5,0.25,0.2456,B-A
5,0.5,0.25,0.2476,B-A
5,0.5,0.25,0.2436,B-A
5,0.5,0.5,0.2183,B-A
5,0.5,0.5,0.2203,B-A
5,0.5,0.5,0.2163,B-A
5,0.5,1,0.1830,B-A
5,0.5,1,0.1850,B-A
5,0.5,1,0.1810,B-A
5,0.5,2,0.1579,B-A
5,0.5,2,0.1599,B-A
5,0.5,2,0.1559,B-A
5,1,0,0.2375,B-A
5,1,0,0.2395,B-A
5,1,0,0.2355,B-A
5,1,0.25,0.2059,B-A
5,1,0.25,0.2079,B-A
5,1,0.25,0.2039,B-A
5,1,0.5,0.1830,B-A
5,1,0.5,0.1850,B-A
5,1,0.5,0.1810,B-A
5,1,1,0.1534,B-A
5,1,1,0.1554,B-A
5,1,1,0.1514,B-A
5,1,2,0.1323,B-A
5,1,2,0.1343,B-A
5,1,2,0.1303,B-A
5,2,0,0.2049,B-A
5,2,0,0.2069,B-A
5,2,0,0.2029,B-A
5,2,0.25,0.1776,B-A
5,2,0.25,0.1796,B-A
5,2,0.25,0.1756,B-A
5,2,0.5,0.1579,B-A
5,2,0.5,0.1599,B-A
5,2,0.5,0.1559,B-A
5,2,1,0.1323,B-A
5,2,1,0.1343,B-A
5,2,1,0.1303,B-A
5,2,2,0.1142,B-A
5,2,2,0.1162,B-A
5,2,2,0.1122,B-A
6,0,0,0.4493,B-A
6,0,0,0.4513,B-A
6,0,0,0.4473,B-A
6,0,0.25,0.3897,B-A
6,0,0.25,0.3917,B-A
6,0,0.25,0.3877,B-A
6,0,0.5,0.3462,B-A
6,0,0.5,0.3482,B-A
6,0,0.5,0.3442,B-A
6,0,1,0.2900,B-A
6,0,1,0.2920,B-A
6,0,1,0.2880,B-A
6,0,2,0.2500,B-A
6,0,2,0.2520,B-A
6,0,2,0.2480,B-A
